id,pair_id,synapse_type,latency,psp_amplitude,psp_rise_time,psp_decay_tau,psc_amplitude,psc_rise_time,psc_decay_tau,meta
1,4262,in,,,,,,,,
1998,103068,ex,,,0.00367324506720714,0.0317233646591777,,0.00211978024530864,0.00371111440079828,
3,100910,ex,,,,,,,,
2017,103094,ex,,,0.00800504747037421,0.423245295700382,,0.00125101580608265,0.00320718564043696,
2009,103079,ex,0.00143228580105992,0.00103200832510239,0.00573525086751088,0.133315732382556,-1.15285800637189e-11,0.00221638865080452,0.00508215114103543,
5239,62745,ex,0.00231055862238045,9.17676178346868e-05,0.00400443544812651,0.0310339456462031,-2.76023289538286e-12,,,
5035,160219,in,0.00094998623677155,-0.000630876758866001,0.00615178175592954,0.0690248775066252,6.66256093892066e-12,0.000100805316287605,0.0391419921886393,
5021,160198,in,0.000450779409532342,,,,4.58398611153545e-11,0.00102178058060204,0.00245302194057119,
5017,160534,in,0.000136901039365079,,,,8.78746074298922e-12,0.000901366912626483,0.00276032876778479,
2278,44491,in,0.00129388252122987,-0.000585216469046276,0.00928605579245914,0.172631739747294,1.59959590281378e-12,,,
2287,44474,in,0.00106314282408743,-0.001375794149209,0.00885044074129738,0.142831581351538,4.13928120461734e-12,,,
5140,152141,in,0.000948976918175127,,,,1.6431703363105e-11,0.00282367709137692,0.0054309792888431,
3274,147180,in,0.00283841770804647,,,,,0.00248568389789355,0.00132436465888482,
2928,126151,ex,,,0.00413262235034269,0.0138647541979274,,0.00281597389632757,0.00369906883965094,
5155,152130,in,0.00120227359096488,,0.0107259978916587,0.456806247948724,1.22318747714808e-11,0.00226749566134352,0.0059296592796245,
3958,19482,ex,,,0.00354795277658946,0.00658813832366426,,0.00170938726382177,0.00231484444757898,
5160,152118,ex,0.0029675308281382,0.000133983518602211,0.00857395070055762,0.0311862044878107,-1.9300826923661e-13,,,
5167,152117,ex,0.00127531029369112,,,,-7.94622947447417e-13,0.00103660756199767,0.00224998803333125,
5179,152114,ex,0.00139809635128912,0.000156655530480943,0.00541015543492957,0.00947658224222805,-3.32210234327027e-12,0.0020555397492365,0.00571843935573727,
5383,149209,in,,,,,,,,
5015,160483,ex,,,,,,,,
2535,72160,in,0.000997688157214823,-0.000699736171254752,0.00533238352732134,0.499999959882562,5.00901569502285e-12,0.00190319058054745,0.0050360488552534,
6069,187212,in,,,,,,,,
4126,85527,in,,,0.00568464200696243,0.0130253993672488,,0.00285629703370472,0.00144359329839873,
2541,72193,ex,0.00124983372934823,0.000935797582804776,0.00297307640279516,0.00585504937771598,-1.71319924612257e-11,0.00171489641707801,0.00181277215119504,
3965,19508,ex,0.0013020589646304,0.000133311202133241,0.00297484216266813,0.012236481813717,-1.45017199083666e-12,,,
5874,180065,ex,0.00359791687491502,1.39346347044342e-05,0.00414298391831497,0.0667434210467444,-1.9857897591452e-13,0.00189361882309305,0.00617976819895694,
4114,85546,in,0.00133577277557956,-0.000165172369870524,0.00489806451897651,0.00515912145250103,3.39043966557671e-12,0.0010845644034781,0.0128350530293933,
4122,85538,in,0.00066374077520838,-9.87429282071404e-05,0.00626072529930436,0.0168610348461055,1.98984073725266e-12,,,
5900,180231,in,0.0014316372726624,-0.000340034319917603,0.00526462949861098,0.0412411906901324,7.27235374461693e-12,0.000100000751751606,0.00543264143397539,
4129,85517,in,0.00134859926251607,-0.000237805306812454,0.00468070639335817,0.0129547465542527,1.2242146428063e-12,0.00161315990251475,0.00421054247546759,
4135,85512,in,0.00256792217056217,-0.00018352159793908,0.00790780029447114,0.0108333620066837,1.00192204147127e-12,,,
6213,188360,in,0.0017233756689323,-0.000306773760172932,0.00736218746371082,0.0809381062571104,3.4469021547955e-12,0.00188779703757959,0.0101010462169686,
6212,188367,in,0.00224195670527903,-0.000153452092613927,0.0115886644903449,0.10526559319245,1.76647808655135e-12,0.00414774695901132,0.00210672472240658,
6211,188385,ex,0.00201382177118144,0.000194283125240899,0.00373372108579916,0.0298710356061637,-3.04255210951896e-12,0.00158587654221725,0.00464215060068207,
5395,149247,in,0.000944487831560186,,0.0143698451625333,0.0346277762303355,8.9590991884533e-12,0.000534642384097756,0.00207026692541172,
6210,188386,ex,0.00235515775380635,5.2333059484785e-05,0.00818198856355233,0.0118225188753071,-3.17383630158408e-12,0.00362949991057245,0.00590221273037101,
77,5289,ex,,,,,,,,
3751,103269,ex,0.00298951943765667,7.54694546001599e-05,0.0028283632355189,0.0181189446304845,-5.39577000401299e-13,0.00208231346740227,0.00234996927906328,
3603,118075,in,0.00105099866217883,,,,1.1391459378079e-12,0.00219919893611069,0.00250761730889522,
5804,149321,ex,0.00131616129788145,0.000120029464217726,0.00239756899898327,0.00500000000000003,-2.28271707926762e-12,0.00101251879634369,0.00181767123612391,
91,5577,ex,,,0.00511314005685239,0.0435833292637975,,0.00231304124075528,0.00304730260094162,
96,344,ex,,,0.00306153646186076,0.0162281822491951,,0.00200664372338498,0.00259763585896539,
5141,152139,ex,,,,,,,,
19,101562,in,0.00114288256184144,-0.000139894655596085,0.00913043396661958,0.0358779653890391,6.12657733728607e-13,,,
100,3790,in,0.00284797895096112,-0.000239264998172864,0.00310848822443281,0.0320169330262806,7.47574675191399e-12,0.00138187803209208,0.00279441648407105,
6288,49316,in,,,,,,,,
5875,180138,in,0.00150518032084685,-0.000186036208646832,0.00792474898389547,0.0535330953102663,2.77767479484042e-12,0.00311536508939377,0.0120318223029307,
4131,91811,in,,,,,,,,
5275,73031,in,,,,,,,,
4115,91841,ex,0.00204882716465444,0.000179231966315592,,,-1.70695482198706e-11,0.000978204448209333,0.00224852158575206,
111,7410,ex,0.00121847152660889,0.000454504138104328,0.00235223949644694,0.0128385119764993,-6.62765002756365e-12,0.00111660508426826,0.00131742218975012,
4167,149632,in,,,,,,,,
3752,132396,ex,0.00235322394763683,3.25569240682635e-05,0.00733924681129552,0.108835032740848,-2.64918869406601e-13,0.00407000185834378,0.00192204273563681,
2281,49688,in,0.00123564776635219,-0.000252534509067928,0.00344123911842809,0.0127505185359917,,,,
2289,49651,in,0.00133303375421954,-0.000103519648986803,0.00127068022100744,0.00500000000000599,2.27419559388122e-12,0.000951557211099762,0.00322544414377629,
2529,110940,ex,,,,,,,,
2527,110938,ex,0.00124627880753789,0.000607442665078878,0.00145800264669302,0.00803925417081059,-6.56047140593571e-12,,,
5315,73005,ex,,,0.00260687973025955,0.00547597149497214,,0.00259493419926862,0.00500649068944938,
4182,149703,in,0.000963749060524388,-0.000820045829333538,0.00314739033892433,0.0103615333833114,5.98487774855844e-12,0.00138721408832685,0.00250060254309011,
4189,149699,in,0.00112284005798445,-0.00198963896865261,0.00250155346306655,0.00708665223579351,2.87204077707627e-11,,,
4193,149737,in,0.00124437149865465,-0.000278064142067481,0.00343309679473858,0.00789990023358309,5.81596569336526e-12,0.000651370876875483,0.00133297635118778,
3236,143531,ex,0.00186785816485463,,,,-5.60931852887522e-24,0.00273586865856658,0.00328868441365351,
5240,73041,ex,0.00131958630048468,0.00030068535749264,0.00249588351377838,0.0050000000000832,-1.32567430763711e-11,0.00174606067509777,0.00200291147667231,
5258,73037,ex,0.00143944658901187,0.000726393900674919,0.00543760836692761,0.0287241112576175,-1.15472335169507e-11,0.00397957779214546,0.00792140985924441,
5288,73028,ex,0.00245281455411306,8.81734023692707e-05,0.00321344219450287,0.499999980946502,-4.22892389147634e-12,0.00128277568408663,0.00460503658218755,
5300,73026,ex,0.00148042050881089,0.00100245456653997,0.00289281699792842,0.0269717285103883,-1.28105453457708e-11,0.00163046944598397,0.00474318268588421,
5327,73004,ex,0.00188933121936814,0.000676273625420129,0.00381750714913666,0.0261492666706349,-1.81373349801427e-11,0.00308328047479988,0.00554628759682466,
5339,72997,ex,0.00289230915274744,0.0005884444709145,0.00294842288841955,0.0171297924912259,-2.05768034261876e-11,0.00214339903278448,0.00374258607497442,
4772,133598,in,0.000873593330631846,,,,5.76093334926202e-11,0.000966002694886568,0.00199284785054158,
4216,161475,in,,,,,,,,
5384,149409,in,,,0.00827611401818119,0.187648987723613,,0.0017863986801522,0.00322544510954846,
4224,161472,ex,,,,,,,,
5625,97739,ex,,,0.00462086102772787,0.0164385098393727,,,,
5565,97770,ex,0.00135966060781563,0.000731277129645894,0.00776430112782976,0.0589590437169823,-1.30334672019242e-12,0.0016205880873157,0.00293456850636682,
5580,97762,ex,0.00202709835338423,0.000370054920181592,0.00549348507052155,0.023433836633349,-1.22770907381928e-12,0.00153681803692512,0.00362418327138311,
2610,114644,in,0.00146189654867585,,,,5.45063838434342e-12,0.00152450442306407,0.0029715724726155,
5596,97744,ex,0.00139855643588242,0.000654350584257877,0.00451653713980658,0.0398513530170104,-6.61107899617015e-12,0.00135562760212891,0.00328968982031864,
5397,149397,in,0.00102747319037982,-0.000209240407343865,0.00377289357787243,0.380964672981768,6.60412191925607e-12,0.00096861392613266,0.00210667800604649,
3506,154188,in,0.00123965222626935,-0.000235559744184157,0.00415281198593427,0.0142131419118373,,,,
3517,154211,in,0.00102412447925647,-0.000245308014333518,0.00617460572942537,0.0252587759844274,2.84103071160963e-12,,,
2896,123603,ex,0.00155180032719899,0.000735548435136576,0.00371594348759721,0.0144775137867843,-1.16720751790909e-12,0.00263422033438879,0.00224191332165782,
2934,126914,ex,,,0.00310031944036752,0.00908304278097877,,0.00156570280876944,0.0034805379704837,
3009,133667,in,,,,,,,,
5746,149287,ex,,,,,,,,
5769,149300,ex,,,0.00802043772798187,0.0490341838639234,,0.0019898412023403,0.00536510421690244,
5787,149304,in,,,0.0108537846608309,0.421951105705696,,0.00306614392312448,0.00829331848912589,
3555,154287,in,,,,,,,,
3240,144964,in,,,,,,,,
5796,149306,in,,,0.0118379628989384,0.145755501107029,,0.00239532199610668,0.0143979731879789,
5800,149312,in,,,0.0118643920244682,0.223935635642056,,0.00201747107139092,0.0113276607200356,
3153,140728,ex,0.00223108401449362,,,,-1.80528607748939e-12,0.00214032584543322,0.00389774597184829,
3525,154219,in,0.0017418911073009,-0.000165909634984798,0.00403762204204812,0.00657218223309854,9.70173822994236e-13,,,
3531,154256,in,0.00114890948415223,-0.000259658506292574,0.004249209892588,0.0151051420056264,3.16603657358469e-12,0.00217861013612298,0.00406553502113403,
3541,154275,in,0.000776687126797989,-0.000891654286281871,0.00302698982213638,0.0214449212777455,1.43898293134837e-11,,,
3548,154283,in,0.0013198422142313,-0.000364883923385315,0.00297055003933926,0.00763049969973609,8.16886047882398e-12,,,
3123,139525,in,,,,,,,,
3139,139651,ex,,,0.00359401831422234,0.0164147410316332,,0.00259206357660245,0.00296654318977731,
3558,154319,in,0.00147449428375269,-9.93761010119627e-05,0.00862585876802693,0.0773069272469545,1.6838311302903e-12,,,
3561,154338,in,0.000874828154525998,-0.000143211059671705,0.00348722014309363,0.297656560490106,,,,
3567,154372,in,0.00109998391608856,-0.000159793885222352,0.00436759798349664,0.0891665297549015,7.49773554296816e-12,0.00115094820606677,0.0020665424528126,
